step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
205,1,387616.58,0.0,0.0,1860383.97,2248000.55,0,0
281,1,574072.72,574072.72,0.0,963.84,575036.56,1,0
283,1,35918.5,7715.95,0.0,1194487.58,1230406.08,0,0
280,3,18757.5,0.0,0.0,0.0,0.0,0,0
348,0,52541.2,8823722.52,8876263.72,949222.34,896681.14,0,0
355,3,822.81,109958.23,109135.42,0.0,0.0,0,0
586,1,1490.76,0.0,0.0,235864.16,237354.92,0,0
158,3,15239.06,0.0,0.0,0.0,0.0,0,0
176,1,351332.16,351332.16,0.0,0.0,351332.16,1,0
386,1,6063657.03,6063657.03,0.0,1215280.38,7278937.41,1,0
206,3,9631.16,70338.0,60706.84,0.0,0.0,0,0
227,3,11560.66,0.0,0.0,0.0,0.0,0,0
502,4,66066.73,66066.73,0.0,0.0,0.0,1,0
192,1,216490.84,63991.97,0.0,1073272.01,1289762.85,0,0
400,1,252364.62,215244.0,0.0,0.0,252364.62,0,0
253,3,14126.67,992.0,0.0,0.0,0.0,0,0
372,1,176102.91,0.0,0.0,216297.1,392400.01,0,0
407,3,1900.62,2489.0,588.38,0.0,0.0,0,0
397,0,224553.06,14068858.76,14293411.82,405323.06,180770.0,0,0
418,4,34498.05,34498.05,0.0,0.0,0.0,1,0
280,1,235644.32,25284.0,0.0,1488865.87,1724510.19,0,0
576,1,511389.5,511389.5,0.0,0.0,511389.5,1,0
240,3,16675.3,11464.0,0.0,0.0,0.0,0,0
307,4,246841.05,0.0,0.0,1137759.7,1384600.75,0,0
590,1,130950.63,11248.0,0.0,92609.74,223560.38,0,0
31,1,587031.2,587031.2,0.0,338247.75,925278.94,1,0
43,0,10239.28,2478160.75,2488400.03,2057980.05,2047740.77,0,0
71,1,345526.4,345526.4,0.0,210291.99,555818.38,1,0
46,1,71372.0,71372.0,0.0,613464.04,684836.04,1,0
330,3,10199.24,0.0,0.0,0.0,0.0,0,0
712,4,372703.48,372703.48,0.0,0.0,0.0,1,0
153,4,448956.96,0.0,0.0,9635557.49,10084514.45,0,0
133,1,343448.7,3858.0,0.0,172862.49,516311.19,0,0
190,4,185510.21,185510.21,0.0,0.0,0.0,1,0
563,1,3200818.85,3200818.85,0.0,1537906.56,4738725.41,1,0
259,0,78770.57,163502.0,242272.57,0.0,0.0,0,0
127,4,6339.42,6339.42,0.0,0.0,0.0,1,0
274,1,70826.07,0.0,0.0,377906.7,448732.78,0,0
170,1,176700.12,176700.12,0.0,0.0,176700.12,1,0
613,4,1892137.66,1892137.66,0.0,0.0,0.0,1,0
378,1,7511.27,704953.0,697441.73,1476987.85,1484499.12,0,0
156,1,619836.33,619836.33,0.0,712633.49,1332469.82,1,0
288,1,78027.89,0.0,0.0,132211.33,210239.22,0,0
328,3,2141.3,0.0,0.0,0.0,0.0,0,0
353,1,270007.83,315027.0,45019.17,0.0,270007.83,0,0
217,1,538312.05,538312.05,0.0,473640.86,1011952.91,1,0
140,1,92216.97,0.0,0.0,543546.44,635763.41,0,0
305,3,22569.7,133596.08,111026.38,0.0,0.0,0,0
187,3,4844.43,0.0,0.0,0.0,0.0,0,0
521,4,48734.24,48734.24,0.0,0.0,0.0,1,0
94,1,363378.75,363378.75,0.0,3609871.44,3973250.18,1,0
33,1,69396.85,0.0,0.0,10822278.53,10891675.39,0,0
373,3,9844.9,56762.9,46918.0,0.0,0.0,0,0
569,4,103053.5,103053.5,0.0,0.0,0.0,1,0
234,3,21378.82,22999.45,1620.63,0.0,0.0,0,0
576,1,25040.78,25040.78,0.0,0.0,25040.78,1,0
349,0,227250.6,97570.0,324820.6,0.0,0.0,0,0
682,4,5271.46,5271.46,0.0,0.0,0.0,1,0
355,0,285424.94,68067.0,353491.94,0.0,0.0,0,0
184,1,90346.05,90346.05,0.0,532789.09,623135.14,1,0
354,3,12413.16,0.0,0.0,0.0,0.0,0,0
382,3,55163.44,0.0,0.0,0.0,0.0,0,0
235,1,309958.79,309958.79,0.0,0.0,247510.12,1,0
186,1,112032.79,0.0,0.0,391757.94,503790.73,0,0
456,4,38180.99,38180.99,0.0,0.0,0.0,1,0
564,1,2472250.47,2472250.47,0.0,4136.88,2476387.35,1,0
133,1,211471.12,0.0,0.0,2665883.16,2877354.27,0,0
396,3,22062.17,8072.0,0.0,0.0,0.0,0,0
56,1,530733.43,530733.43,0.0,233066.99,763800.42,1,0
718,4,8851.38,8851.38,0.0,0.0,0.0,1,0
182,1,1486052.97,1486052.97,0.0,775543.29,2261596.26,1,0
120,1,105859.41,105859.41,0.0,1210162.91,1316022.32,1,0
364,1,34162.97,34162.97,0.0,0.0,34162.97,1,0
129,1,4310.85,10478.0,6167.15,0.0,4310.85,0,0
404,1,932691.0,932691.0,0.0,93390.82,1026081.82,1,0
43,1,144663.8,81369.64,0.0,1138358.16,1283021.95,0,0
718,1,376639.05,376639.05,0.0,0.0,376639.05,1,0
185,1,48982.58,17067.0,0.0,0.0,48982.58,0,0
44,3,19627.41,14928.55,0.0,0.0,0.0,0,0
47,1,61487.67,61487.67,0.0,0.0,61487.67,1,0
306,3,21576.88,0.0,0.0,0.0,0.0,0,0
326,2,8886.41,0.0,0.0,187629.24,196515.65,0,0
657,4,24853.41,24853.41,0.0,0.0,0.0,1,0
331,4,638773.0,0.0,0.0,1112587.92,1751360.93,0,0
320,1,62318.91,62318.91,0.0,975697.67,1038016.58,1,0
34,1,406018.32,24273.0,0.0,0.0,406018.32,0,0
276,1,250843.07,0.0,0.0,8952634.68,9203477.75,0,0
521,1,28835.93,28835.93,0.0,263633.63,292469.56,1,0
375,4,667733.81,667733.81,0.0,0.0,0.0,1,0
403,4,2178303.49,2178303.49,0.0,0.0,0.0,1,0
392,1,92001.22,92001.22,0.0,329180.16,421181.38,1,0
237,3,18759.86,0.0,0.0,0.0,0.0,0,0
212,1,1947807.58,1947807.58,0.0,149.0,1947956.58,1,0
406,1,9173.06,9173.06,0.0,0.0,9173.06,1,0
164,3,12237.28,276789.08,264551.8,0.0,0.0,0,0
357,4,2239461.29,2239461.29,0.0,0.0,0.0,1,0
419,4,3118811.65,3118811.65,0.0,0.0,0.0,1,0
155,4,386715.67,0.0,0.0,804996.26,1191711.93,0,0
153,4,1002474.35,5068.0,0.0,282838.98,1285313.34,0,0
306,4,521986.29,521986.29,0.0,0.0,0.0,1,0
358,4,5656416.95,5656416.95,0.0,0.0,0.0,1,0
332,0,157424.67,255603.9,413028.58,1066491.04,909066.37,0,0
225,1,253677.87,759224.0,505546.13,0.0,253677.87,0,0
416,1,10000000.0,10000000.0,0.0,2423749.18,12423749.18,1,0
656,3,11900.18,25167.47,13267.29,0.0,0.0,0,0
437,1,3200270.32,3200270.32,0.0,2000017.66,5200287.99,1,0
303,1,116462.24,0.0,0.0,1079984.05,1196446.29,0,0
215,4,332151.67,332151.67,0.0,0.0,0.0,1,0
375,3,6683.53,0.0,0.0,0.0,0.0,0,0
584,1,1016081.0,1016081.0,0.0,0.0,1016081.0,1,0
